StudyID,Age,Gender,StorybookVersion,DelayCondition,Trial,Animal,TrialAccuracy,Begin,End,ReactionTime,Answer,AnswerType,sumaccuracy,trialamount,OverallAccuracy
AMP005,3.62739726,F,4,1,1,monkey,0,3883.384,3884.638,0.2543908,beach,foil,3,8,0.375
AMP005,3.62739726,F,4,1,2,dog,0,3892.794,3897.864,4.069328,baseball,incorrect2,3,8,0.375
AMP005,3.62739726,F,4,1,3,cow,0,3905.994,3911.24,4.245644,pool,foil,3,8,0.375
AMP005,3.62739726,F,4,1,4,pig,1,3919.367,3924.448,4.080886,tent,correct,3,8,0.375
AMP005,3.62739726,F,4,1,5,cat,1,3932.493,3937.725,4.231143,baseball,correct,3,8,0.375
AMP005,3.62739726,F,4,1,6,bear,0,3944.323,3950.199,4.875827,library,foil,3,8,0.375
AMP005,3.62739726,F,4,1,7,sheep,0,3958.287,3965.076,5.788207,bouncehouse,incorrect1,3,8,0.375
AMP005,3.62739726,F,4,1,8,lion,1,3971.727,3978.068,5.339987,barn,correct,3,8,0.375
AMP024,3.038356164,M,1,1,1,bear,1,2679.376,2683.968,3.591265,pool,correct,5,8,0.625
AMP024,3.038356164,M,1,1,2,monkey,1,2692.149,2698.961,5.811798,candy,correct,5,8,0.625
AMP024,3.038356164,M,1,1,3,pig,1,2705.615,2712.186,5.571445,mountain,correct,5,8,0.625
AMP024,3.038356164,M,1,1,4,dog,0,2718.801,2726.663,6.861174,movie,foil,5,8,0.625
AMP024,3.038356164,M,1,1,5,lion,1,2733.305,2740.94,6.633517,grocery,correct,5,8,0.625
AMP024,3.038356164,M,1,1,6,cat,0,2749.059,2755.983,5.92304,bouncehouse,foil,5,8,0.625
AMP024,3.038356164,M,1,1,7,cow,1,2764.117,2769.608,4.490888,bedroom,correct,5,8,0.625
AMP024,3.038356164,M,1,1,8,sheep,0,2777.725,2783.201,4.475448,subway,foil,5,8,0.625
AMP062,4.084931507,M,3,1,1,bear,1,73913.36,73917.48,3.117334,castle,correct,8,8,1
AMP062,4.084931507,M,3,1,2,monkey,1,73925.59,73931.25,4.659078,subway,correct,8,8,1
AMP062,4.084931507,M,3,1,3,pig,1,73937.88,73941.63,2.744765,baseball,correct,8,8,1
AMP062,4.084931507,M,3,1,4,dog,1,73948.19,73952.77,3.576807,bouncehouse,correct,8,8,1
AMP062,4.084931507,M,3,1,5,lion,1,73960.87,73965.09,3.225032,movie,correct,8,8,1
AMP062,4.084931507,M,3,1,6,cat,1,73973.2,73977.77,3.570106,museum,correct,8,8,1
AMP062,4.084931507,M,3,1,7,cow,1,73985.89,73990.13,3.23377,basketball,correct,8,8,1
AMP062,4.084931507,M,3,1,8,sheep,1,73998.29,74002.42,3.127072,bowling,correct,8,8,1
AMP133,3.939726027,F,4,1,1,pig,0,4410.042,4425.176,14.13436,bouncehouse,incorrect2,7,8,0.875
AMP133,3.939726027,F,4,1,2,dog,1,4433.354,4440.987,6.632936,bowling,correct,7,8,0.875
AMP133,3.939726027,F,4,1,3,monkey,1,4447.684,4452.277,3.593227,bouncehouse,correct,7,8,0.875
AMP133,3.939726027,F,4,1,4,cow,1,4459.056,4465.52,5.463067,castle,correct,7,8,0.875
AMP133,3.939726027,F,4,1,5,cat,1,4473.684,4478.245,3.560288,baseball,correct,7,8,0.875
AMP133,3.939726027,F,4,1,6,bear,1,4486.449,4492.371,4.921252,museum,correct,7,8,0.875
AMP133,3.939726027,F,4,1,7,sheep,1,4500.583,4506.731,5.147106,basketball,correct,7,8,0.875
AMP133,3.939726027,F,4,1,8,lion,1,4515.057,4519.439,3.382044,barn,correct,7,8,0.875
AMP087,4.131506849,F,3,1,1,bear,0,68093.77,68098.46,3.685612,movie,incorrect2,6,8,0.75
AMP087,4.131506849,F,3,1,2,monkey,1,68107.5,68112.12,3.620707,subway,correct,6,8,0.75
AMP087,4.131506849,F,3,1,3,pig,1,68119.11,68124.89,4.784511,baseball,correct,6,8,0.75
AMP087,4.131506849,F,3,1,4,dog,1,68131.67,68135.45,2.781759,bouncehouse,correct,6,8,0.75
AMP087,4.131506849,F,3,1,5,lion,0,68143.76,68148.31,3.544812,castle,incorrect2,6,8,0.75
AMP087,4.131506849,F,3,1,6,cat,1,68156.81,68163.62,5.806393,museum,correct,6,8,0.75
AMP087,4.131506849,F,3,1,7,cow,1,68171.82,68179.01,6.19059,basketball,correct,6,8,0.75
AMP087,4.131506849,F,3,1,8,sheep,1,68187.36,68191.19,2.824757,bowling,correct,6,8,0.75
AMP083,5.567123288,M,2,1,1,cow,1,1240.599,1243.568,1.968954,pool,correct,8,8,1
AMP083,5.567123288,M,2,1,2,dog,1,1251.744,1258.946,6.201585,car,correct,8,8,1
AMP083,5.567123288,M,2,1,3,sheep,1,1267.089,1274.339,6.250262,bedroom,correct,8,8,1
AMP083,5.567123288,M,2,1,4,pig,1,1280.936,1288.398,6.462334,playground,correct,8,8,1
